Pokemon,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,Move 1,Move 2,Move 3,Size,Weight,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Passive 1,Passive 2,Passive 3,Passive 4,Passive 5,Passive 6,Passive 7,Proficiency 1,Proficiency 2,Proficiency 3,Proficiency 4,Proficiency 5,Proficiency 6,Proficiency 7,Proficiency 8,EggGroup1,EggGroup2,Egg Hatch Rate,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Habitat 5,Diet,Rarity,Base Form,Special Form Type,Gigantamax Move,Evolves From,Legendary HP,Move 4,Move 5,Move 6,Legendary Move 1,Legendary Move 2,Legendary Move 3,Legendary Move 4,Legenadary Passive 1,Legenadary Passive 2,Legenadary Passive 3,Legendary Feature 1,Legendary Feature 2
Togepi,24,2,7,4,7,2,Fairy,,Sweet Kiss,Yawn,Encore,Small,Featherweight,None,,,,,,,Charm,Super Luck,,,,,,No moves from Any,,,,,,,Metronome,Fairy,-,4 Days,Forest,,,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Togetic,36,4,9,8,11,4,Fairy,Flying,Metronome,Wish,Ancient Power,Small,Light,Flight,,,,,,,Charm,Super Luck,,,,,,Fairy,Flying,Avian,Elemental Attacks F,Winged,Cutesy,,Metronome,Fairy,-,4 Days,Forest,,,,,Herbivore,Uncommon,,,,Togepi,,,,,,,,,,,,,
Togekiss,54,5,10,12,12,8,Fairy,Flying,Safeguard,Double Edge,Air Slash,Large,Medium,Flight,,,,,,,Charm,Super Luck,,,,,,Fairy,Flying,Avian,Elemental Attacks F,Winged,Cutesy,,"Metronome, Extreme Speed, Tri Attack",Fairy,-,4 Days,Forest,,,,,Herbivore,Uncommon,,,,Togetic,,,,,,,,,,,,,
Milcery,30,4,4,5,6,3,Fairy,,Tackle,Draining Kiss,Sweet Kiss,Tiny,Featherweight,Amorphous,Hover,,,,,,Acid Armor,Sweet Veil,,,,,,Fairy,Grass (Ranged Attacks),,,,,,"Recover, Moonlight",Fairy,Amorphous,10 Days,Field,Urban,,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Alcremie,42,6,8,11,12,6,Fairy,,Decorate,Recover,Dazzling Gleam,Small,Featherweight,Amorphous,,,,,,,Acid Armor,Aroma Veil,Sweet Veil,,,,,Fairy,Grass (Ranged Attacks),,,,,,"Recover, Misty Explosion",Fairy,Amorphous,10 Days,Field,Urban,,,,Herbivore,Uncommon,,,G-Max Finale,Milcery,,,,,,,,,,,,,
Gigantamax Alcremie,210,6,8,11,12,6,Fairy,,Decorate,Recover,Dazzling Gleam,Large (Dynamic),Heavy (Dynamic),Amorphous,,,,,,,Acid Armor,Aroma Veil,Sweet Veil,,,,,Fairy,Grass (Ranged Attacks),,,,,,"Recover, Misty Explosion",Fairy,Amorphous,10 Days,Field,Urban,,,,Herbivore,Uncommon,Alcremie,Gigantamax,G-Max Finale,Milcery,,,,,,,,,,,,,
Snubbull,36,8,5,4,4,3,Fairy,,Bite,Lick,Headbutt,Small,Light,Tracker,,,,,,,Charm,Run Away,,,,,,Fairy,Elemental Attacks EF,Fangs,,,,,"Heal Bell, Odor Sleuth",Field,Fairy,10 Days,Urban,,,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Granbull,54,12,8,6,6,5,Fairy,,Take Down,Crunch,Outrage,Medium,Medium,Tracker,,,,,,,Intimidate,Quick Feet,Rattled,,,,,Fairy,Elemental Attacks EF,Fangs,Bruiser,,,,"Heal Bell, Odor Sleuth",Field,Fairy,10 Days,Urban,,,,,Omnivore,Common,,,,Snubbull,,,,,,,,,,,,,
Spritzee,48,5,6,6,7,2,Fairy,,Peck,Fairy Wind,Sweet Kiss,Tiny,Featherweight,Hover,Alluring,,,,,,Calm Mind,Healer,,,,,,Fairy,Psychic,Avian,Elemental Attacks E,Healer,,,,Fairy,-,10 Days,Meadows,Woodlands,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Aromatisse,60,7,7,10,9,3,Fairy,,Attract,Moonblast,Psychic,Small,Medium,Alluring,Repulsive,,,,,,Calm Mind,Charm,Aroma Veil,Healer,,,,Fairy,Psychic,Avian,Elemental Attacks E,Healer,,,Misty Explosion,Fairy,-,10 Days,Meadows,Woodlands,,,,Omnivore,Uncommon,,,,Spritzee,,,,,,,,,,,,,
Swirlix,36,5,7,6,6,5,Fairy,,Tackle,Fairy Wind,Aromatherapy,Small,Light,Hover,Threaded,,,,,,Cotton Spore,Sweet Veil,,,,,,Fairy,Grass (Ranged Attacks),Elemental Attacks EF,,,,,Sticky Web,Fairy,-,10 Days,Meadows,Woodlands,,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Slurpuff,48,8,9,9,8,7,Fairy,,Draining Kiss,Energy Ball,Play Rough,Small,Light,Alluring,,,,,,,Cotton Guard,Cotton Spore,Sweet Veil,,,,,Fairy,Grass (Ranged Attacks),Elemental Attacks EF,,,,,"Sticky Web, Misty Explosion",Fairy,-,10 Days,Meadows,Woodlands,,,,Herbivore,Uncommon,,,,Swirlix,,,,,,,,,,,,,
Comfey,30,5,9,8,11,10,Fairy,,Vine Whip,Floral Healing,Petal Dance,Tiny,Featherweight,Hover,,,,,,,Growth,Flower Veil,Triage,Natural Cure,,,,Fairy,Grass,Floral,Healer,,,,"Floral Healing, Flower Shield, Pollen Puff, Vine Whip, Wrap",Grass,Fairy,10 Days,Meadows,,,,,Herbivore,Rare,,,,,,,,,,,,,,,,,
Machop,42,8,5,4,4,4,Fighting,,Low Kick,Karate Chop,Foresight,Small,Medium,None,,,,,,,Focus Energy,Leer,Guts,,,,,Fighting,Bruiser,Elemental Attacks,Martial,,,,,Humanshape,-,10 Days,Cave,Mountains,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Machoke,48,10,7,5,6,5,Fighting,,Seismic Toss,Revenge,Knock Off,Medium,Heavy,Strength,,,,,,,Bulk Up,Focus Energy,Leer,Guts,Steadfast,,,Fighting,Bruiser,Elemental Attacks,Martial,,,,,Humanshape,-,10 Days,Cave,Mountains,,,,Omnivore,Uncommon,,,,Machop,,,,,,,,,,,,,
Machamp,54,13,8,7,9,6,Fighting,,Strength,Submission,Cross Chop,Large,Heavy,Strength,,,,,,,Bulk Up,Focus Energy,Leer,Guts,No Guard,Steadfast,,Fighting,Bruiser,Elemental Attacks,Martial,Stampeding,,,,Humanshape,-,10 Days,Cave,Mountains,,,,Omnivore,Uncommon,,,G-Max Chi Strike,Machoke,,,,,,,,,,,,,
Gigantamax Machamp,270,13,8,7,9,6,Fighting,,Strength,Submission,Cross Chop,Large (Dynamic),Heavy (Dynamic),Strength,,,,,,,Bulk Up,Focus Energy,Leer,Guts,No Guard,Steadfast,,Fighting,Bruiser,Elemental Attacks,Martial,Stampeding,,,,Humanshape,-,10 Days,Cave,Mountains,,,,Omnivore,Uncommon,Machamp,Gigantamax,G-Max Chi Strike,Machoke,,,,,,,,,,,,,
Timburr,48,8,6,3,4,4,Fighting,,Pound,Low Kick,Rock Throw,Small,Medium,None,,,,,,,Focus Energy,Leer,Guts,,,,,Fighting,Rock,Martial (No Kicks),,,,,,Humanshape,-,10 Days,Forest,Mountains,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Gurdurr,54,11,9,4,5,4,Fighting,,Chip Away,Rock Slide,Dynamic Punch,Medium,Medium,Strength,,,,,,,Bulk Up,Focus Energy,Leer,Guts,Sheer Force,,,Fighting,Rock,Martial (No Kicks),,,,,,Humanshape,-,10 Days,Forest,Mountains,,,,Omnivore,Uncommon,,,,Timburr,,,,,,,,,,,,,
Conkeldurr,66,14,10,6,7,5,Fighting,,Hammer Arm,Stone Edge,Superpower,Large,Heavy,Strength,,,,,,,Bulk Up,Focus Energy,Leer,Guts,Sheer Force,Iron Fist,,Fighting,Rock,Martial (No Kicks),Stampeding,,,,,Humanshape,-,10 Days,Forest,Mountains,,,,Omnivore,Uncommon,,,,Gurdurr,,,,,,,,,,,,,
Clobbopus,30,7,6,5,5,3,Fighting,,Rock Smash,Bind,Detect,Small,Light,Gilled,Swimmer,,,,,,Bulk Up,Leer,Limber,,,,,Fighting,Water,Martial (No Kicks),,,,,Bind,Water 1,Humanshape,10 Days,Beach,Ocean,Polar,,,Carnivore,Uncommon,,,,,,,,,,,,,,,,,
Grapploct,48,12,9,7,8,4,Fighting,,Taunt,Reversal,Submission,Medium,Medium,Gilled,Swimmer,,,,,,Bulk Up,Leer,Limber,Technician,,,,Fighting,Water,Martial (No Kicks),,,,,"Octolock, Octozooka",Water 1,Humanshape,10 Days,Beach,Ocean,Polar,,,Carnivore,Uncommon,,,,Clobbopus,,,,,,,,,,,,,
Crabrawler,30,8,6,4,5,6,Fighting,,Pursuit,Bubble Beam,Power-Up Punch,Medium,Light,Climber,,,,,,,Leer,Iron Fist,,,,,,Fighting,Water,Bruiser,,,,,Crabhammer,Water 3,-,10 Days,Beach,Mountains,,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Crabominable,60,13,8,6,7,4,Fighting,Ice,Ice Punch,Dizzy Punch,Ice Hammer,Medium,Heavy,Climber,Freezer,,,,,,Iron Defense,Leer,Anger Point,Hyper Cutter,Iron Fist,,,Fighting,Water,Bruiser,Ice,,,,"Crabhammer, Ice Hammer",Water 3,-,10 Days,Beach,Mountains,,,,Herbivore,Uncommon,,,,Crabrawler,,,,,,,,,,,,,
Farfetch'd (Massive Leak),30,10,6,6,6,6,Fighting,,Rock Smash,Brutal Swing,Detect,Large (Dynamic),Heavy (Dynamic),None,,,,,,,Agility,Swords Dance,Steadfast,,,,,Fighting,Avian,Blades/Claws,Winged,,,,,Flying,Field,10 Days,Forest,Grasslands,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Sirfetch'd,36,14,10,7,8,7,Fighting,,Meteor Assault,Leaf Blade,Brave Bird,Medium,Heavy,None,,,,,,,Agility,Swords Dance,Scrappy,Steadfast,,,,Fighting,Avian,Blades/Claws,Winged,Grass (Melee Attacks),,,First Impression,Flying,Field,10 Days,Forest,Grasslands,,,,Omnivore,Rare,,,,Farfetch'd (Massive Leak),,,,,,,,,,,,,
Makuhita,42,6,3,2,3,3,Fighting,,Force Palm,Whirlwind,Knock Off,Medium,Heavy,None,,,,,,,Focus Energy,Guts,,,,,,Fighting,Bruiser,,,,,,"Arm Thrust, Smelling Salt",Humanshape,-,10 Days,Mountains,,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Hariyama,84,12,6,4,6,5,Fighting,,Belly Drum,Seismic Toss,Close Combat,Large,Superweight,Strength,,,,,,,Focus Energy,Guts,Sheer Force,Thick Fat,,,,Fighting,Bruiser,Stampeding,,,,,"Arm Thrust, Smelling Salt",Humanshape,-,10 Days,Mountains,,,,,Omnivore,Uncommon,,,,Makuhita,,,,,,,,,,,,,
Mankey,24,8,4,4,5,7,Fighting,,Karate CHop,Pursuit,Swagger,Small,Medium,Climber,,,,,,,Focus Energy,Leer,Vital Spirit,,,,,Fighting-type moves,Fighting,Bruiser,Elemental Attacks EF,,,,Smelling Salt,Field,-,10 Days,Forest,Jungle,Mountains,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Primeape,42,11,6,6,7,10,Fighting,,Rage Powder,Cross Chop,Punishment,Medium,Medium,Climber,,,,,,,Focus Energy,Screech,Anger Point,Defiant,Vital Spirit,,,Fighting-type moves,Fighting,Bruiser,Elemental Attacks EF,,,,Smelling Salt,Field,-,10 Days,Forest,Jungle,Mountains,,,Herbivore,Uncommon,,,,Mankey,,,,,,,,,,,,,
Meditite,18,4,6,4,6,6,Fighting,Psychic,Confusion,Force Palm,Endure,Medium,Medium,Telekinetic,,,,,,,Calm Mind,Pure Power,,,,,,Fighting,Psychic,Martial,,,,,"Mind Reader, Recover",Humanshape,-,10 Days,Field,Mountains,,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Medicham,36,6,8,6,8,8,Fighting,Psychic,Mind Reader,High Jump Kick,Recover,Medium,Medium,Telekinetic,Telepath,,,,,,Calm Mind,Pure Power,Telepathy,,,,,Fighting,Psychic,Martial,,,,,"Mind Reader, Recover",Humanshape,-,10 Days,Field,Mountains,,,,Herbivore,Uncommon,,,,Meditite,,,,,,,,,,,,,
Mega Medicham,36,10,9,8,9,10,Fighting,Psychic,Mind Reader,High Jump Kick,Recover,Medium,Medium,Telekinetic,Telepath,,,,,,Calm Mind,Pure Power,Telepathy,Purest Power,,,,Fighting,Psychic,Martial,,,,,"Mind Reader, Recover",Humanshape,-,10 Days,Field,Mountains,,,,Herbivore,Uncommon,Medicham,Mega,,Meditite,,,,,,,,,,,,,
Mienfoo,30,9,5,6,5,7,Fighting,,Fake Out,Swift,Force Palm,Medium,Medium,None,,,,,,,Calm Mind,Meditate,Inner Focus,,,,,Fighting,Martial,,,,,,Smelling Salt,Field,Humanshape,10 Days,Mountains,,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Mienshao,42,13,6,10,6,11,Fighting,,Drain Punch,Jump Kick,Bounce,Medium,Medium,None,,,,,,,Calm Mind,Meditate,Inner Focus,Reckless,Regenerator,,,Fighting,Martial,,,,,,"Smelling Salt, Bounce",Field,Humanshape,10 Days,Mountains,,,,,Omnivore,Uncommon,,,,Mienfoo,,,,,,,,,,,,,
Pancham,42,8,6,5,5,4,Fighting,,Tackle,Karate Chop,Comet Punch,Small,Light,None,,,,,,,Leer,Work Up,Mold Breaker,,,,,Fighting,,,,,,,Arm Thrust,Field,Humanshape,10 Days,Forest,Mountains,,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Pangoro,60,12,8,7,7,6,Fighting,Dark,Bullet Punch,Circle Throw,Crunch,Large,Heavy,Strength,,,,,,,Leer,Work Up,Iron Fist,Mold Breaker,Scrappy,,,Fighting,Dark,Bruiser,,,,,"Arm Thrust, Circle Throw",Field,Humanshape,10 Days,Forest,Mountains,,,,Herbivore,Uncommon,,,,Pancham,,,,,,,,,,,,,
Riolu,24,7,4,4,4,6,Fighting,,Endure,Quick Attack,Force Palm,Small,Medium,Tracker,,,,,,,Inner Focus,,,,,,,Fighting,,,,,,,,Field,Humanshape,13. Days,Cave,Mountains,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Lucario,42,11,7,12,7,9,Fighting,Steel,Power-Up Punch,Aura Sphere,Close Combat,Medium,Medium,Telepath,Tracker,,,,,,Metal Sound,Swords Dance,Work Up,Inner Focus,Justified,,,Fighting,Steel,Pulse,Energy Blast,Martial,,,"Bone Rush, Extreme Speed, Meteor Assault",Field,Humanshape,13. Days,Cave,Mountains,,,,Omnivore,Rare,,,,Riolu,,,,,,,,,,,,,
Mega Lucario,42,15,9,14,7,11,Fighting,Steel,Power-Up Punch,Aura Sphere,Close Combat,Medium,Medium,Telepath,Tracker,,,,,,Metal Sound,Swords Dance,Work Up,Inner Focus,Justified,Mega Adaptability,,Fighting,Steel,Pulse,Energy Blast,Martial,,,"Bone Rush, Extreme Speed, Meteor Assault",Field,Humanshape,13. Days,Cave,Mountains,,,,Omnivore,Rare,Lucario,Mega,,Riolu,,,,,,,,,,,,,
Tyrogue,24,4,4,4,4,4,Fighting,,Fake Out,Tackle,Foresight,Small,Medium,None,,,,,,,Guts,,,,,,,Fighting,,,,,,,Mind Reader,Humanshape,-,13 Days,Mountains,Urban,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Hitmonlee,30,12,5,4,11,9,Fighting,,Mega Kick,High Jump Kick,Close Combat,Medium,Medium,Reach,,,,,,,Focus Energy,Guts,Limber,Reckless,,,,Fighting,Kicks,,,,,,Mind Reader,Humanshape,-,13 Days,Mountains,Urban,,,,Omnivore,Uncommon,,,,Tyrogue,,,,,,,,,,,,,
Hitmonchan,30,11,8,4,11,8,Fighting,,Fire Punch,Ice Punch,Thunder Punch,Medium,Medium,None,,,,,,,Agility,Guts,Inner Focus,Iron Fist,Keen Eye,,,Fighting,Punches,,,,,,Mind Reader,Humanshape,-,13 Days,Mountains,Urban,,,,Omnivore,Uncommon,,,,Tyrogue,,,,,,,,,,,,,
Hitmontop,30,10,10,4,11,7,Fighting,,Triple Kick,Rapid Spin,Detect,Medium,Medium,None,,,,,,,Focus Energy,Intimidate,Guts,Steadfast,Technician,,,Fighting,Kicks,,,,,,"Mind Reader, Triple Kick",Humanshape,-,13 Days,Mountains,Urban,,,,Omnivore,Uncommon,,,,Tyrogue,,,,,,,,,,,,,
Falinks,42,10,10,7,6,8,Fighting,,No Retreat,Rock Smash,Close Combat,Large,Medium,Modular 6,,,,,,,Bulk Up,Focus Energy,Battle Armor,Defiant,,,,Fighting,Bruiser,,,,,,"First Impression, No Retreat",Fairy,Mineral,10 Days,Badlands,Mountains,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Hawlucha,48,9,8,7,6,12,Fighting,Flying,Wing Attack,Flying Press,High Jump Kick,Medium,Medium,Flight,,,,,,,Feather Dance,Hone Claws,Swords Dance,Limber,Mold Breaker,,,Fighting,Flying,Martial (No Punches/Kicks),Avian,Winged,,,Flying Press,Humanshape,-,10 Days,Field,Forest,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Passimian,60,12,9,4,6,8,Fighting,,Rock Smash,Thrash,Reversal,Medium,Heavy,Climber,,,,,,,Bulk Up,Focus Energy,Leer,Defiant,Receiver,,,Fighting,Bruiser,,,,,,,Field,-,10 Days,Forest,Jungle,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Sawk,48,13,8,3,8,9,Fighting,,Brick Break,Retaliate,Close Combat,Medium,Medium,None,,,,,,,Bulk Up,Leer,Inner Focus,Mold Breaker,Sturdy,,,Fighting,Martial (No Punches/Kicks),,,,,,,Humanshape,-,10 Days,Forest,Mountains,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Throh,72,10,9,3,9,5,Fighting,,Body Slam,Circle Throw,Superpower,Medium,Medium,None,,,,,,,Bulk Up,Leer,Guts,Inner Focus,Mold Breaker,,,Fighting,Bruiser,,,,,,"Circle Throw, Mat Block, Storm Throw",Humanshape,-,10 Days,Forest,Mountains,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Fletchling,30,5,4,4,4,6,Flying,Normal,Tackle,Quick Attack,Peck,Small,Featherweight,Flight,,,,,,,Agility,Growl,Big Pecks,,,,,Flying,Avian,Winged,,,,,,Flying,-,10 Days,Field,Woodlands,,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Fletchinder,36,7,6,6,5,8,Fire,Flying,Ember,Flail,Roost,Small,Light,Firestarter,Flight,,,,,,Agility,Growl,Big Pecks,Flame Body,,,,Flying,Avian,Winged,Fire,,,,,Flying,-,10 Days,Field,Woodlands,,,,Omnivore,Common,,,,Fletchling,,,,,,,,,,,,,
Talonflame,48,8,7,7,7,13,Fire,Flying,Flame Charge,Steel Wing,Brave Bird,Medium,Medium,Firestarter,Flight,Guster,,,,,Agility,Growl,Big Pecks,Gale Wings,Flame Body,,,Flying,Avian,Winged,Fire,,,,,Flying,-,10 Days,Field,Woodlands,,,,Omnivore,Common,,,,Fletchinder,,,,,,,,,,,,,
Magby,30,8,4,7,6,8,Fire,,Ember,Smoke Screen,Feint Attack,Small,Medium,Firestarter,Heater,,,,,,Flame Body,Leer,,,,,,Fire,,,,,,,,Humanshape,-,13 Days,Volcanoes,,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Magmar,42,10,6,10,9,9,Fire,,Fire Spin,Confuse Ray,Fire Punch,Medium,Medium,Firestarter,Heater,Sinker,,,,,Flame Body,Leer,,,,,,Fire,Energy Blast,Stampeding,,,,,,Humanshape,-,13 Days,Volcanoes,,,,,Omnivore,Rare,,,,Magby,,,,,,,,,,,,,
Magmortar,48,10,7,13,10,8,Fire,,Flamethrower,Fire Blast,Hyper Beam,Large,Heavy,Firestarter,Heater,Sinker,,,,,Flame Body,Vital Spirit,Leer,,,,,Fire,Energy Blast,Stampeding,Munition,,,,,Humanshape,-,13 Days,Volcanoes,,,,,Omnivore,Rare,,,,Magmar,,,,,,,,,,,,,
Darumaka,42,9,5,2,5,5,Fire,,Rollout,Incinerate,Headbutt,Small,Medium,Firestarter,Heater,,,,,,Hustle,,,,,,,Fire,,,,,,,,Field,-,10 Days,Desert,Forest,Mountains,Ruins,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Darmanitan,66,14,6,3,6,10,Fire,,Belly Drum,Superpower,Zen Headbutt,Large,Heavy,Firestarter,Heater,,,,,,Work Up,Sheer Force,Zen Mode,,,,,Fire,Psychic,Bruiser,,,,,,Field,-,10 Days,Desert,Forest,Mountains,Ruins,,Omnivore,Uncommon,,,,Darumaka,,,,,,,,,,,,,
Darmanitan (Zen mode),66,3,11,14,11,3,Fire,Psychic,Belly Drum,Superpower,Zen Headbutt,Large,Heavy,Firestarter,Heater,,,,,,Work Up,Sheer Force,Zen Mode,,,,,Fire,Psychic,Bruiser,,,,,,Field,-,10 Days,Desert,Forest,Mountains,Ruins,,Omnivore,Uncommon,,,,Darumaka,,,,,,,,,,,,,
Growlithe,36,7,5,7,5,6,Fire,,Bite,Ember,Fire Fang,Small,Medium,Firestarter,Tracker,,,,,,Agility,Leer,Flash Fire,,,,,Fire,Bruiser,Fangs,,,,,"Burn Up, Odor Sleuth",Field,-,10 Days,Plains,Volcanoes,,,,Carnivore,Uncommon,,,,,,,,,,,,,,,,,
Arcanine,54,11,8,10,8,10,Fire,,Extreme Speed,Flare Blitz,Crunch,Large,Heavy,Firestarter,Tracker,,,,,,Agility,Intimidate,Leer,Flash Fire,Justified,,,Fire,Bruiser,Fangs,,,,,"Burn Up, Odor Sleuth, Extreme Speed",Field,-,10 Days,Plains,Volcanoes,,,,Carnivore,Uncommon,,,,Growlithe,,,,,,,,,,,,,
Litleo,36,5,6,7,5,7,Fire,Normal,Headbutt,Ember,Take Down,Small,Medium,Firestarter,,,,,,,Leer,Work Up,Unnerve,,,,,Fire,Fangs,,,,,,,Field,-,10 Days,Field,Savanna,,,,Carnivore,Uncommon,,,,,,,,,,,,,,,,,
Pyroar,54,7,7,11,7,11,Fire,Normal,Flamethrower,Crunch,Hyper Voice,Large,Heavy,Firestarter,,,,,,,Moxie,Work Up,Unnerve,,,,,Fire,Fangs,,,,,,,Field,-,10 Days,Field,Savanna,,,,Carnivore,Uncommon,,,,Litleo,,,,,,,,,,,,,
Numel,36,6,4,7,5,4,Fire,Ground,Tackle,Ember,Lava Plume,Medium,Medium,Firestarter,Heater,Sinker,,,,,Amnesia,Growl,Focus Energy,Oblivious,,,,Fire,,,,,,,,Field,-,10 Days,Volcanoes,,,,,Herbivore/Terravore,Uncommon,,,,,,,,,,,,,,,,,
Camerupt,42,10,7,11,8,4,Fire,Ground,Rock Slide,Earth Power,Earthquake,Large,Superweight,Firestarter,Heater,Sinker,Groundshaper,,,,Amnesia,Growl,Focus Energy,Anger Point,Solid Rock,Oblivious,,Fire,Ground,Munition,Stampeding,,,,"Eruption, Fissure",Field,-,10 Days,Volcanoes,,,,,Herbivore/Terravore,Uncommon,,,,Numel,,,,,,,,,,,,,
Mega Camerupt,42,12,10,15,11,2,Fire,Ground,Rock Slide,Earth Power,Earthquake,Large,Superweight,Firestarter,Heater,Sinker,Groundshaper,,,,Amnesia,Growl,Focus Energy,Anger Point,Solid Rock,Oblivious,Sheerest Force,Fire,Ground,Munition,Stampeding,,,,"Eruption, Fissure",Field,-,10 Days,Volcanoes,,,,,Herbivore/Terravore,Uncommon,Camerupt,Mega,,Numel,,,,,,,,,,,,,
Pansear,30,5,5,5,5,6,Fire,,Scratch,Lick,Incinerate,Small,Medium,Climber,Firestarter,,,,,,Leer,Play Nice,Blaze,,,,,Fire,Tricky,,,,,,,Field,-,10 Days,Forest,Jungle,Volcanoes,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Simisear,48,10,6,10,6,10,Fire,,Fury Swipes,Flame Burst,Crunch,Medium,Medium,Climber,Firestarter,,,,,,Leer,Play Nice,Blaze,Prankster,,,,Fire,Tricky,,,,,,,Field,-,10 Days,Forest,Jungle,Volcanoes,,,Omnivore,Uncommon,,,,Pansear,,,,,,,,,,,,,
Ponyta,30,9,6,7,7,9,Fire,,Tackle,Ember,Stomp,Medium,Medium,Firestarter,Sinker,Heater,,,,,Growl,Run Away,Tail Whip,Flash Fire,,,,Fire,Horned,,,,,,High Horsepower,Field,-,10 Days,Grasslands,Plains,Woodlands,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Rapidash,42,10,7,8,8,11,Fire,,Flame Charge,Bounce,Flare Blitz,Large,Heavy,Firestarter,Sinker,Heater,,,,,Agility,Growl,Tail Whip,Flame Body,Flash Fire,,,Fire,Horned,Stampeding,,,,,"High Horsepower, Horn Drill, Bounce",Field,-,10 Days,Grasslands,Plains,Woodlands,,,Herbivore,Uncommon,,,,Ponyta,,,,,,,,,,,,,
Sizzlipede,30,7,5,5,5,5,Fire,Bug,Ember,Wrap,Smoke Screen,Small,Featherweight,Firestarter,Heater,,,,,,Flash Fire,,,,,,,Bug,Fire,,,,,,"Burn Up, Fire Lash, Wrap",Bug,-,10 Days,Mountains,Volcanoes,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Centiskorch,60,12,7,9,9,7,Fire,Bug,Bug Bite,Fire Lash,Fire Spin,Large,Heavy,Firestarter,Heater,,,,,,Coil,Flame Body,Flash Fire,White Smoke,,,,Bug,Fire,,,,,,"Burn Up, Fire Lash, Heat Crash, Wrap",Bug,-,10 Days,Mountains,Volcanoes,,,,Omnivore,Uncommon,,,G-Max Centiferno,Sizzlipede,,,,,,,,,,,,,
Gigantamax Centiskorch,300,12,7,9,9,7,Fire,Bug,Bug Bite,Fire Lash,Fire Spin,Large (Dynamic),Heavy (Dynamic),Firestarter,Heater,,,,,,Coil,Flame Body,Flash Fire,White Smoke,,,,Bug,Fire,,,,,,"Burn Up, Fire Lash, Wrap",Bug,-,10 Days,Mountains,Volcanoes,,,,Omnivore,Uncommon,Centiskorch,Gigantamax,G-Max Centiferno,Sizzlipede,,,,,,,,,,,,,
Slugma,24,4,4,7,4,2,Fire,,Smog,Ember,Yawn,Small,Medium,Climber,Firestarter,Heater,Sinker,,,,Amnesia,Magma Armor,Flame Body,,,,,Fire,,,,,,,Recover,Amorphous,-,10 Days,Volcanoes,,,,,Herbivore / Saprophyte,Uncommon,,,,,,,,,,,,,,,,,
Magcargo,36,5,12,8,9,3,Fire,Rock,Rock Slide,Flamethrower,Earth Power,Medium,Heavy,Climber,Firestarter,Heater,Sinker,Groundshaper,,,Amnesia,Flame Body,Magma Armor,Weak Armor,,,,Fire,Rock,,,,,,"Recover, Shell Smash",Amorphous,-,10 Days,Volcanoes,,,,,Herbivore / Saprophyte,Uncommon,,,,Slugma,,,,,,,,,,,,,
Vulpix,24,4,4,5,7,7,Fire,,Ember,Quick Attack,Confuse Ray,Small,Light,Firestarter,,,,,,,Baby-Doll Eyes,Tail Whip,Flash Fire,,,,,Fire,Ghost,Hexwork,Tricky,,,,,Field,-,10 Days,Mountains,Volcanoes,Urban Burial,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Ninetales,42,8,8,8,10,10,Fire,,Flamethrower,Will-O-Wisp,Safeguard,Medium,Medium,Firestarter,,,,,,,Baby-Doll Eyes,Tail Whip,Drought,Flash Fire,,,,Fire,Ghost,Hexwork,Tricky,,,,,Field,-,10 Days,Mountains,Volcanoes,Urban Burial,,,Omnivore,Uncommon,,,,Vulpix,,,,,,,,,,,,,
